"S.No.","Division/Seat No.","Name of Member","Lok Sabha","Session","State","Constituency","Total Sittings","No. of days member signed the register"
"133","197","Shri  A.K.S.  Vijayan                                           ","15","8","Tamil Nadu                                                  ","Nagapattinam","26","10"
"134","198","Shri  E.G.  Sugavanam                                         ","15","8","Tamil Nadu                                                  ","Krisnagiri","26","17"
"135","199","Shri    Adhi Sankar                                       ","15","8","Tamil Nadu                                                  ","Kallakurichi","26","14"
"136","200","Dr.  Sanjeev Ganesh  Naik                                              ","15","8","Maharashtra                                                 ","Thane","26","25"
"137","201","Shri  Asaduddin  Owaisi                                            ","15","8","Andhra Pradesh                                              ","Hyderabad","26","13"
"138","202","Shri  Sansuma Khunggur  Bwiswmuthiary                                     ","15","8","Assam                                                       ","Kokrajhar","26","23"
"139","203","Dr.  Raghuvansh Prasad  Singh                                             ","15","8","Bihar                                                       ","Vaishali","26","26"
"140","204","Shri  Hassan  Khan                                              ","15","8","Jammu and Kashmir                                           ","Ladakh","26","25"
"141","205","Shri  Sadashivrao Dadoba  Mandlik                                           ","15","8","Maharashtra                                                 ","Kolhapur","26","21"
"142","206","Shri  R.  Thamaraiselvan                                    ","15","8","Tamil Nadu                                                  ","Dharmapuri","26","17"
"143","207","Shri    Abdul Rahman                                      ","15","8","Tamil Nadu                                                  ","Vellore","26","22"
"144","208","Shri  Somendranath  Mitra                                             ","15","8","West Bengal                                                 ","Diamond Harbour","26","8"
"145","210","Shri  Badruddin  Ajmal                                             ","15","8","Assam                                                       ","Dhubri","26","9"
"146","211","Shri  Babu Lal  Marandi                                           ","15","8","Jharkhand                                                   ","Kodarma","26","9"
"147","212","Shri  Mirza Mehboob  Beg                                               ","15","8","Jammu and Kashmir                                           ","Anantnag","26","21"
"148","213","Shri  Jagdambika  Pal                                               ","15","8","Uttar Pradesh                                               ","Domariyaganj","26","19"
"149","214","Shri  N.Dharam  Singh                                             ","15","8","Karnataka                                                   ","Bidar","26","16"
"150","215","Shri  H.D.  Kumaraswamy                                       ","15","8","Karnataka                                                   ","Bangalore Rural","26","5"
"151","216","Shri  Sultan  Ahmed                                             ","15","8","West Bengal                                                 ","Uluberia","26","1"
"152","217","Dr.  Kakoli Ghosh  Dastidar                                          ","15","8","West Bengal                                                 ","Barasat","26","15"
"153","220","Shri  Jitendra  Singh Malik                                       ","15","8","Rajasthan                                                   ","Alwar","26","23"
"154","221","Shri  P.L.  Punia                                             ","15","8","Uttar Pradesh                                               ","Barabanki","26","26"
"155","222","Shri  Kamal  Kishor   Commando                                 ","15","8","Uttar Pradesh                                               ","Bahraich","26","26"
"156","223","Dr.  Vinay Kumar  Panday ""Vinnu""                                    ","15","8","Uttar Pradesh                                               ","Shrawasti","26","25"
"157","224","Shri  Harsh  Vardhan                                           ","15","8","Uttar Pradesh                                               ","Maharajganj","26","22"
"158","225","Shri  Praveen Singh  Aron                                              ","15","8","Uttar Pradesh                                               ","Bareilly","26","25"
"159","226","Shri  Pradeep  Tamta                                             ","15","8","Uttarakhand                                                 ","Almora","26","24"
"160","227","Shri  S. S.  Ramasubbu                                         ","15","8","Tamil Nadu                                                  ","Tirunelveli","26","26"
"161","228","Shri  Sharief Ud Din  Shariq                                            ","15","8","Jammu and Kashmir                                           ","Baramulla","26","25"
"162","229","Shri  Mahesh  Joshi                                             ","15","8","Rajasthan                                                   ","Jaipur","26","26"
"163","230","Shri  Ijyaraj  Singh                                             ","15","8","Rajasthan                                                   ","Kota","26","26"
"164","231","Shri  E. T. Muhammed  Basheer                                           ","15","8","Kerala                                                      ","Ponnani","26","16"
"165","232","Shri  Gopal  Singh  Shekhawat                                  ","15","8","Rajasthan                                                   ","Rajsamand","26","25"
"166","233","Shri  Raghuvir Singh  Meena                                             ","15","8","Rajasthan                                                   ","Udaipur","26","23"
"167","234","Shri  Harish  Choudhary                                         ","15","8","Rajasthan                                                   ","Barmer","26","24"
"168","235","Shri  Badri Ram  Jakhar                                            ","15","8","Rajasthan                                                   ","Pali","26","25"
"169","236","Shri  Khiladi Lal  Bairwa                                            ","15","8","Rajasthan                                                   ","Karauli-Dholpur","26","25"
"170","237","Shri  Ratan  Singh                                             ","15","8","Rajasthan                                                   ","Bharatpur","26","26"
"171","238","Shri  Raja Ram  Pal                                               ","15","8","Uttar Pradesh                                               ","Akbarpur","26","26"
"172","239","Shri  Bharat Ram  Meghwal                                           ","15","8","Rajasthan                                                   ","Ganganagar","26","25"
"173","240","Shri  Zafar Ali  Naqvi                                             ","15","8","Uttar Pradesh                                               ","Kheri","26","22"
"174","242","Shri  Charles  Dias                                              ","15","8","Kerala                                                      ","Nominated Anglo-Indian","26","25"
"175","243","Shri  Mohinder Singh  Kaypee                                            ","15","8","Punjab                                                      ","Jalandhar","26","23"
"176","244","Shri  Partap Singh  Bajwa                                             ","15","8","Punjab                                                      ","Gurdaspur","26","24"
"177","245","Adv.  P. T.  Thomas                                            ","15","8","Kerala                                                      ","Idukki","26","26"
"178","246","Shri  M. I.  Shanavas                                          ","15","8","Kerala                                                      ","Wayanad","26","19"
"179","247","Shri  Anto  Antony                                            ","15","8","Kerala                                                      ","Pathanamthitta","26","22"
"180","248","Shri  N.  Peethambarakurup                                  ","15","8","Kerala                                                      ","Kollam","26","18"
"181","249","Shri  Om Prakash  Yadav                                             ","15","8","Bihar                                                       ","Siwan","26","22"
"182","250","Shri    Sivakumar @  Ritheesh                             ","15","8","Tamil Nadu                                                  ","Ramanthapuram","26","11"
"183","251","Shri  Sanjay Dina  Patil                                             ","15","8","Maharashtra                                                 ","Mumbai-North-East","26","24"
"184","252","Shri  Narayan Singh  Amlabe                                            ","15","8","Madhya Pradesh                                              ","Rajgarh","26","26"
"185","253","Shri  Jose K.  Mani                                              ","15","8","Kerala                                                      ","Kottayam","26","21"
"186","254","Shri  Kameshwar  Baitha                                            ","15","8","Jharkhand                                                   ","Palamu","26","24"
"187","255","Shri  N. Cheluvaraya Swamy  ","15","8","Karnataka                                                   ","Mandya","26","16"
"188","256","Shri  Thol Thirumaavalavan  ","15","8","Tamil Nadu                                                  ","Chidambaram","26","15"
"189","257","Shri  Prem Das  Rai                                               ","15","8","Sikkim                                                      ","Sikkim","26","25"
"190","258","Shri  C. M.  Chang                                             ","15","8","Nagaland                                                    ","Nagaland","26","23"
"191","259","Shri   Baliram  Jadhav                                          ","15","8","Maharashtra                                                 ","Palghar","26","26"
"192","260","Shri  Jagada Nand  Singh                                             ","15","8","Bihar                                                       ","Buxar","26","26"
"193","261","Shri  Uma Shanaker  Singh                                             ","15","8","Bihar                                                       ","Maharajganj","26","26"
"194","262","Smt.  J. Helen Davidson  ","15","8","Tamil Nadu                                                  ","Kanniyakumari","26","23"
"195","263","Shri  S. R.  Jeyadurai                                         ","15","8","Tamil Nadu                                                  ","Thoothukkudi","26","17"
"196","264","Shri  Uday Pratap  Singh                                             ","15","8","Madhya Pradesh                                              ","Hoshangabad","26","25"
"197","265","Shri  Premchand  Guddu                                             ","15","8","Madhya Pradesh                                              ","Ujjain","26","22"
"198","266","Shri  Marotrao  Sainuji   Kowase                                  ","15","8","Maharashtra                                                 ","Gadchiroli-Chimur","26","23"
"199","267","Shri   Suresh  Kashinath   Taware                                ","15","8","Maharashtra                                                 ","Bhiwandi","26","22"
"200","268","Shri  Jaywant  Gangaram   Awale                                  ","15","8","Maharashtra                                                 ","Latur","26","24"
"201","269","Dr.  Nilesh N.  Rane                                              ","15","8","Maharashtra                                                 ","Ratnagiri-Sindhudurg","26","22"
"202","270","Shri  Thangso  Baite                                             ","15","8","Manipur                                                     ","Outer Manipur","26","26"
"203","271","Shri  Pradeep  Majhi                                             ","15","8","Orissa                                                      ","Nabarangpur","26","23"
"204","272","Shri  Amarnath  Pradhan                                           ","15","8","Orissa                                                      ","Sambalpur","26","24"
"205","273","Shri  Hemanand  Biswal                                            ","15","8","Orissa                                                      ","Sundargarh","26","24"
"206","274","Shri  Sanjay  Bhoi                                              ","15","8","Orissa                                                      ","Bargarh","26","25"
"207","275","Shri  C. L.  Ruala                                             ","15","8","Mizoram                                                     ","Mizoram","26","25"
"208","276","Shri  Mulayam Singh  Yadav                                             ","15","8","Uttar Pradesh                                               ","Mainpuri","26","23"
"209","277","Shri  H.D.  Devegowda                                         ","15","8","Karnataka                                                   ","Hassan","26","23"
"210","278","Kunwar  Rewati Raman  Singh                                             ","15","8","Uttar Pradesh                                               ","Allahabad","26","23"
"211","279","Dr.    Bali Ram                                          ","15","8","Uttar Pradesh                                               ","Lalganj","26","25"
