Bill No.,Bill Year,Short Title of Bill,Ministry,Member Name,Date of Introduction,Bill Category,Status,URL for Bill As Introduced
120,2012,"The Economically Weaker Class Corporation Bill, 2012.",SOCIAL JUSTICE AND EMPOWERMENT,P.L. Punia Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3246LS.pdf
121,2012,"The Persons with Disabilities (Equal Opportunities, Protection of Rights and Full Participation) Amendment Bill, 2012 (Amendment of sections 2 and 33).",SOCIAL JUSTICE AND EMPOWERMENT,Arjun Ram Meghwal Shri,07/12/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3247LS.pdf
122,2012,"The Lakshadweep Coconut Tree Climbers (Welfare) Bill, 2012.",AGRICULTURE,Hamdulla A. B. Sayeed Muhammed,08/03/2013,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3245LS.pdf
123,2012,"The Constitution (Amendment) Bill, 2012 (Amendment of the Eighth Schedule).",HOME AFFAIRS,Bhupendra Singh Shri,07/12/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3244LS.pdf
124,2012,"The Spices Board (Amendment) Bill, 2012 (Omission of sections 16 and 28).",COMMERCE AND INDUSTRY,P. T. Thomas Shri,07/12/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3300LS.pdf
125,2012,"The Prevention of Cruelty to Animals (Amendment) Bill, 2012 (Amendment of section 38).",ENVIRONMENT AND FORESTS,Chauhan Mahendrasinh Shri,07/12/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3312LS.pdf
126,2012,"The Women (Reservation in Services) Bill, 2012.","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Jhansi Botcha Lakshmi Smt.,07/12/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3308LS.pdf
127,2012,"The Constitution (Amendment) Bill, 2012 (Amendment of article 130).",LAW AND JUSTICE,R. Thamaraiselvan Shri,07/12/2012,Money Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3271LS.pdf
128,2012,"The Agricultural Produce (Remunerative Support Prices and Miscellaneous Provisions) Bill, 2012.",AGRICULTURE,Chauhan Mahendrasinh Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3309ls.pdf
129,2012,"The Indian Penal Code (Amendment) Bill, 2012 (Substitution of new section for section 124A).",HOME AFFAIRS,Baijayant Panda Shri,07/12/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3310LS.pdf
131,2012,"The Free Educational and Hostel Facilities to Students Belonging to the Scheduled Castes, the Scheduled Tribes and Economically Weaker Class Bill, 2012.",HUMAN RESOURCE DEVELOPMENT,Chauhan Mahendrasinh Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3449LS.pdf
