Bill No,Year,Short Title of Bill,Ministry,Date of Introduction,Date of Passing in Lok Sabha,Date of Passing in Rajya Sabha,Date of Assent,Act No,Bill Category,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL of Errata
65,1995,"The Criminal Law (Second Amendment) Bill, 1995",HOME AFFAIRS,21/08/1995,NA,NA,NA,,Financial Bill,NA,NA,NA,NA
66,1995,"The Salary, Allowances and Pensions of Members of Parliament (Second Amendment) Bill, 1995",PARLIAMENTARY AFFAIRS,22/08/1995,NA,NA,NA,,Financial Bill,NA,NA,NA,NA
67,1995,"The Persons with Disabilities (Equal Opportunities, Protection of Rights and Full Participation) BIll, 1995",NA,26/08/1995,22/12/1995,22/12/1995,01/01/1996,1,Financial Bill,Passed,NA,NA,NA
74,1995,"The Depositories Bill, 1995",NA,28/11/1995,06/12/1995,NA,NA,,Financial Bill,Passed,NA,NA,NA
74,1995,"The Depositories Bill, 1995",NA,28/11/1995,06/12/1995,NA,NA,,Financial Bill,Lapsed,NA,NA,NA
76,1995,"The Building and other Construction Workers Welfare Cess Bill, 1995",LABOUR,01/12/1995,NA,NA,NA,,Money Bill,NA,NA,NA,NA
77,1995,"The Building and other Construction Workers (Regulation and Employment and Conditions of Service) Bill, 1995",LABOUR,01/12/1995,NA,NA,NA,,Financial Bill,NA,NA,NA,NA
82,1995,"The National Trust for the Welfare of Persons with Mental Retardation Celebral Palsy Bill, 1995",NA,06/12/1995,NA,NA,NA,,Financial Bill,NA,NA,NA,NA
83,1995,"The Appropriation (No. 5) Bill, 1995",NA,06/12/1995,06/12/1995,06/12/1996,03/01/1996,3,Money Bill,Passed,NA,NA,NA
88,1995,"The Cotton Ginning and Pressing Factories (Repeal) Bill, 1995.",TEXTILES,11/12/1995,NA,NA,NA,,Ordinary Bill,NA,NA,NA,NA
89,1995,"The Appropriation (Railways) No. 4 Bill, 1995",RAILWAYS,22/12/1995,22/12/1995,22/12/1995,03/01/1996,4,Money Bill,Passed,NA,NA,NA
90,1995,"The Coal Mines Provident Fund and Miscellaneous Provisions (Amendment) Bill, 1995.",NA,19/12/1995,NA,NA,NA,,Financial Bill,NA,NA,NA,NA
91,1995,"The Uttar Pradesh State Legislature (Delegation of Powers) Bill, 1995.",HOME AFFAIRS,22/12/1995,22/12/1995,22/12/1995,01/01/1996,2,Financial Bill,Passed,NA,NA,NA
134,1995,"The Punjab Appropriation (No. 3) Bill, 1985",NA,29/07/1985,NA,NA,NA,,Money Bill,NA,NA,NA,NA
8,1994,"The Coffee (Amendment) Bill, 1994",NA,28/02/1994,15/03/1994,17/03/1994,28/03/1994,23,Financial Bill,Passed,NA,NA,NA
9,1994,"The Special Court (Trial of Offences Relating to Transations in Securities) Amendment Bill, 1993",NA,28/02/1994,15/03/1994,17/03/1994,28/03/1994,24,Ordinary Bill,Passed,NA,NA,NA
12,1994,"The Minies and Minerals (Regulation and Development) Amendment Bill, 1994",NA,28/02/1994,16/03/1994,17/03/1994,28/03/1994,25,Ordinary Bill,Passed,NA,NA,NA
15,1994,"The Finance Bill, 1994",NA,28/02/1994,06/05/1994,09/05/1994,13/05/1994,32,Money Bill,Passed,NA,NA,NA
17,1994,"The Appropriation (Railways) Vote on Account Bill, 1994",RAILWAYS,09/03/1994,09/03/1994,15/03/1994,21/03/1994,14,Money Bill,Passed,NA,NA,NA
19,1994,"The Appropriation (Railways) Bill, 1994",RAILWAYS,09/03/1994,09/03/1994,15/03/1994,21/03/1994,15,Money Bill,Passed,NA,NA,NA
21,1994,"The Manipur Appropriation (Vote on Account) Bill, 1994",NA,09/03/1994,08/03/1994,15/03/1994,21/03/1994,16,Money Bill,Passed,NA,NA,NA
22,1994,"The Manipur Appropriation Bill, 1994",NA,09/03/1994,09/03/1994,15/03/1994,21/03/1994,17,Money Bill,Passed,NA,NA,NA
23,1994,"The Jammu and Kashmir Appropriation Bill, 1994",NA,09/03/1994,09/03/1994,15/03/1994,21/03/1994,19,Money Bill,Passed,NA,NA,NA
24,1994,"The Jammu and Kashmir Appropriation (Vote on Account) Bill, 1994",NA,09/03/1994,09/03/1994,15/03/1994,21/03/1994,18,Money Bill,Passed,NA,NA,NA
25,1994,"The Appropriation (Vote on Account) Bill, 1994",NA,17/03/1994,17/03/1994,17/03/1994,22/03/1994,21,Money Bill,Passed,NA,NA,NA
26,1994,"The Appropriation Bill, 1994",NA,17/03/1994,17/03/1994,17/03/1994,22/03/1994,22,Money Bill,Passed,NA,NA,NA
39,1994,"The Manipur Panchayati Raj Bill, 1994",RURAL DEVELOPMENT,22/03/1994,22/04/1994,22/04/1994,23/04/1994,26,Financial Bill,Passed,NA,NA,NA
41,1994,"The Appropriation (Railways) No. 2 Bill, 1994",RAILWAYS,27/04/1994,27/04/1994,05/05/1994,10/05/1994,29,Money Bill,Passed,NA,NA,NA
42,1994,"The Appropriation (Railways) No. 3 Bill, 1994",RAILWAYS,27/04/1994,27/04/1994,05/05/1994,10/05/1994,30,Money Bill,Passed,NA,NA,NA
45,1994,"The Appropriation (No.2) Bill, 1994",NA,03/05/1994,03/05/1994,09/05/1994,13/05/1994,31,Money Bill,Passed,NA,NA,NA
50,1994,"The Neyveli Lignite Corporation Limited (Acquisition and Transfer of Power Transmission System) Bill, 1994",POWER,12/05/1994,05/08/1994,16/08/1994,14/09/1994,56,Ordinary Bill,Passed,NA,NA,NA
51,1994,"The Constitution (Eighty-Second Amendment) Bill, 1994",NA,NA,NA,NA,NA,,Ordinary Bill,NA,NA,NA,NA
54,1994,"The Manipur Municipalities Bill, 1994",NA,13/06/1994,14/06/1994,15/06/1994,08/07/1994,43,Financial Bill,Passed,NA,NA,NA
55,1994,"The New Delhi Municipal Council Bill, 1994",HOME AFFAIRS,13/06/1994,14/06/1994,15/06/1994,14/07/1994,44,Financial Bill,Passed,NA,NA,NA
56,1994,"The Punjab Municipal Corporation Law (Extension to Chandigarh) Bill, 1994",HOME AFFAIRS,13/06/1994,14/06/1994,15/06/1994,22/07/1994,45,Financial Bill,Passed,NA,NA,NA
57,1994,"The Representation of the People (Second Amendment) Bill, 1994",NA,13/06/1994,NA,NA,NA,,Financial Bill,NA,NA,NA,NA
58,1994,"The Constitution (Eighty-Third Amendment) Bill, 1994",NA,NA,NA,NA,NA,,Ordinary Bill,NA,NA,NA,NA
66,1994,"The Comptroller and Auditor-General(Duties, Powers and Conditions of Service) Amendment Bill, 1994",NA,02/08/1994,08/08/1994,22/08/1994,26/08/1994,51,Money Bill,Passed,NA,NA,NA
